sale_id,customer_id,country,product_id,product_name,category,quantity,unit_price,discount,amount,event_ts
1,40,BE,104,Mouse,Accessories,3,49.0,0.05,139.65,2026-06-13T18:28:00+00:00
2,67,IT,104,Mouse,Accessories,1,49.0,0.0,49.0,2026-02-10T21:43:00+00:00
3,9,BE,103,Keyboard,Accessories,1,79.0,0.1,71.1,2026-04-11T20:07:00+00:00
4,30,FR,105,Dock USB-C,Accessories,2,159.0,0.0,318.0,2026-01-13T22:10:00+00:00
5,91,FR,106,Webcam HD,Accessories,1,99.0,0.0,99.0,2026-01-13T06:28:00+00:00
6,5,ES,107,Server Mini,Servers,3,2199.0,0.0,6597.0,2026-04-04T14:22:00+00:00
7,31,BE,103,Keyboard,Accessories,4,79.0,0.0,316.0,2026-04-09T03:56:00+00:00
8,17,DE,106,Webcam HD,Accessories,5,99.0,0.1,445.5,2026-03-28T01:07:00+00:00
9,32,FR,107,Server Mini,Servers,4,2199.0,0.05,8356.2,2026-02-04T15:54:00+00:00
10,13,BE,101,Laptop Pro,Computers,4,1299.0,0.0,5196.0,2026-03-19T02:38:00+00:00
11,53,DE,104,Mouse,Accessories,1,49.0,0.0,49.0,2026-01-12T00:49:00+00:00
12,52,IT,106,Webcam HD,Accessories,3,99.0,0.0,297.0,2026-02-15T06:23:00+00:00
13,25,FR,102,Monitor 27,Displays,5,349.0,0.05,1657.75,2026-01-26T12:27:00+00:00
14,55,ES,102,Monitor 27,Displays,3,349.0,0.05,994.65,2026-02-15T11:25:00+00:00
15,10,ES,104,Mouse,Accessories,5,49.0,0.0,245.0,2026-01-10T05:01:00+00:00
16,84,ES,105,Dock USB-C,Accessories,1,159.0,0.0,159.0,2026-06-18T15:21:00+00:00
17,97,ES,107,Server Mini,Servers,2,2199.0,0.0,4398.0,2026-03-15T23:39:00+00:00
18,63,BE,104,Mouse,Accessories,2,49.0,0.05,93.1,2026-06-14T06:49:00+00:00
19,8,FR,102,Monitor 27,Displays,4,349.0,0.0,1396.0,2026-03-13T01:46:00+00:00
20,34,DE,107,Server Mini,Servers,4,2199.0,0.0,8796.0,2026-03-19T00:08:00+00:00
21,90,BE,106,Webcam HD,Accessories,5,99.0,0.05,470.25,2026-01-29T04:19:00+00:00
22,25,FR,103,Keyboard,Accessories,2,79.0,0.0,158.0,2026-04-16T10:28:00+00:00
23,95,IT,105,Dock USB-C,Accessories,1,159.0,0.0,159.0,2026-01-11T09:45:00+00:00
24,7,FR,105,Dock USB-C,Accessories,4,159.0,0.1,572.4,2026-06-17T08:51:00+00:00
25,68,IT,102,Monitor 27,Displays,1,349.0,0.1,314.1,2026-01-15T14:00:00+00:00
26,24,IT,101,Laptop Pro,Computers,5,1299.0,0.0,6495.0,2026-05-03T22:02:00+00:00
27,31,BE,104,Mouse,Accessories,1,49.0,0.1,44.1,2026-02-14T19:43:00+00:00
28,75,BE,105,Dock USB-C,Accessories,1,159.0,0.1,143.1,2026-01-15T22:11:00+00:00
29,54,BE,106,Webcam HD,Accessories,5,99.0,0.1,445.5,2026-04-06T04:04:00+00:00
30,41,BE,103,Keyboard,Accessories,2,79.0,0.0,158.0,2026-02-13T10:50:00+00:00
31,34,DE,104,Mouse,Accessories,2,49.0,0.0,98.0,2026-03-25T05:38:00+00:00
32,41,BE,107,Server Mini,Servers,1,2199.0,0.0,2199.0,2026-03-25T10:16:00+00:00
33,80,DE,105,Dock USB-C,Accessories,1,159.0,0.0,159.0,2026-04-08T20:57:00+00:00
34,28,ES,105,Dock USB-C,Accessories,3,159.0,0.0,477.0,2026-06-19T21:28:00+00:00
