numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20230801000000;100300;-50;6;270;5.000000;288.550000;288.050000;97;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;99460;mq;mq;-1090;mq;mq;mq;mq;290.050000;mq;mq;8.400000;8.400000;-10;mq;0.000000;mq;mq;0.000000;0.400000;8.300000;21.600000;22.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20230801000000;100180;-90;6;250;5.200000;288.750000;287.950000;95;51230;0;mq;mq;100;1;250;mq;mq;mq;99630;mq;mq;-1150;mq;mq;mq;mq;290.150000;mq;mq;7.600000;9.400000;-10;1;0.000000;mq;mq;-0.100000;0.600000;4.900000;9.700000;10.300000;mq;mq;mq;mq;1;mq;240;8;mq;1740;mq;mq;mq;mq;mq;mq;
07020;20230801000000;100540;0;0;270;8.300000;289.450000;288.150000;92;12000;1;2;mq;60;4;800;32;24;10;100430;mq;mq;-800;mq;mq;mq;mq;mq;mq;mq;12.300000;12.300000;-10;2;mq;mq;mq;0.000000;0.000000;0.200000;6.600000;8.000000;mq;mq;mq;mq;4;8;600;2;3;2000;mq;mq;mq;mq;mq;mq;
07027;20230801000000;100600;120;3;280;6.200000;289.050000;287.950000;93;49780;0;mq;mq;100;5;150;mq;mq;mq;99810;mq;mq;-950;mq;mq;mq;mq;291.250000;mq;mq;9.400000;10.300000;-10;1;0.000000;mq;mq;-0.100000;2.000000;5.200000;10.400000;13.200000;mq;mq;mq;mq;2;mq;180;5;mq;870;8;mq;6360;mq;mq;mq;
07037;20230801000000;100440;-10;5;310;5.800000;288.750000;288.450000;98;3180;50;mq;mq;100;8;150;mq;mq;mq;98610;mq;mq;-1080;mq;mq;mq;mq;289.650000;mq;mq;9.100000;11.600000;-10;mq;0.000000;mq;mq;0.800000;13.400000;17.600000;22.600000;28.600000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20230801000000;100300;-250;8;230;8.400000;291.750000;289.550000;87;20000;0;mq;mq;100;8;450;mq;mq;mq;99200;mq;mq;-1310;mq;mq;mq;mq;290.550000;mq;mq;14.300000;15.900000;-10;mq;0.000000;mq;mq;-0.100000;2.400000;4.400000;7.400000;7.400000;mq;mq;mq;mq;6;mq;540;8;mq;1350;mq;8;mq;mq;mq;mq;
07110;20230801000000;100980;100;1;280;3.500000;288.150000;287.550000;96;17900;0;mq;mq;75;2;450;mq;mq;mq;99820;mq;mq;-630;mq;mq;mq;mq;287.250000;mq;mq;6.500000;6.600000;-10;1;0.000000;mq;mq;0.000000;-0.100000;1.200000;11.100000;15.100000;mq;mq;mq;mq;2;mq;390;6;mq;5880;mq;mq;mq;mq;mq;mq;
07117;20230801000000;100810;60;0;250;6.200000;289.050000;288.250000;95;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100130;mq;mq;-670;mq;mq;mq;mq;mq;mq;mq;11.100000;11.100000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;13.300000;15.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20230801000000;100840;50;3;320;6.600000;289.950000;288.850000;93;4580;60;mq;mq;100;8;150;mq;mq;mq;100400;mq;mq;-920;mq;mq;mq;mq;290.550000;mq;mq;10.500000;10.600000;-10;2;0.000000;mq;mq;0.600000;0.600000;3.400000;8.000000;8.000000;mq;mq;mq;mq;4;mq;180;6;mq;450;8;mq;630;mq;mq;mq;
07139;20230801000000;100580;-110;6;240;4.600000;291.150000;290.550000;96;2580;50;mq;mq;100;8;150;mq;mq;mq;98900;mq;mq;-1120;mq;mq;mq;mq;291.950000;mq;mq;8.300000;8.800000;-10;2;0.000000;mq;mq;1.200000;3.000000;18.500000;26.000000;26.200000;mq;mq;mq;mq;7;mq;180;8;mq;300;mq;mq;mq;mq;mq;mq;
07149;20230801000000;100490;-180;6;240;8.500000;291.250000;289.950000;92;13310;0;mq;mq;100;8;450;mq;mq;mq;99440;mq;mq;-1170;mq;mq;mq;mq;mq;mq;mq;14.600000;14.600000;-10;1;0.000000;mq;mq;0.000000;4.500000;6.900000;10.500000;10.900000;mq;mq;mq;mq;8;mq;360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
