numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20241001000000;100930;20;3;270;8.100000;286.850000;282.850000;77;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100070;mq;mq;-210;mq;mq;mq;mq;284.750000;mq;mq;11.800000;15.700000;-10;1;0.000000;mq;mq;-0.100000;1.600000;2.400000;3.800000;6.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20241001000000;100730;-30;6;220;6.700000;286.650000;283.950000;84;44880;0;mq;mq;90;7;800;mq;mq;mq;100170;mq;mq;-630;mq;mq;mq;mq;285.950000;mq;mq;11.400000;11.400000;-10;1;mq;mq;mq;0.000000;0.000000;1.000000;1.200000;5.600000;mq;mq;mq;mq;7;mq;720;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20241001000000;101260;30;3;280;8.600000;288.450000;285.050000;80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101150;mq;mq;990;mq;mq;mq;mq;mq;mq;mq;12.900000;13.700000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;0.200000;1.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20241001000000;101340;30;2;250;4.200000;285.350000;283.450000;88;43510;0;mq;mq;75;6;1750;mq;mq;mq;100540;mq;mq;550;mq;mq;mq;mq;286.750000;mq;mq;5.700000;7.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.200000;0.600000;mq;mq;mq;mq;1;mq;1500;6;mq;7320;mq;mq;mq;mq;mq;mq;
07037;20241001000000;101200;10;3;250;6.600000;285.550000;283.750000;89;18770;0;mq;mq;100;8;450;mq;mq;mq;99330;mq;mq;70;mq;mq;mq;mq;285.750000;mq;mq;9.700000;12.100000;-10;mq;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;5;mq;570;8;mq;780;mq;mq;mq;mq;mq;mq;
07072;20241001000000;101190;0;5;240;5.500000;286.550000;284.250000;86;20000;0;mq;mq;mq;2;1750;mq;mq;mq;100060;mq;mq;-390;mq;mq;mq;mq;285.650000;mq;mq;10.100000;11.400000;-10;1;mq;mq;mq;0.000000;0.600000;2.200000;2.200000;2.600000;mq;mq;mq;mq;2;mq;1680;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20241001000000;101560;-60;8;250;1.400000;283.350000;283.050000;98;770;44;mq;mq;100;8;6600;mq;mq;mq;100370;mq;mq;920;mq;mq;mq;mq;284.950000;mq;mq;1.800000;2.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;3;mq;6600;8;mq;7260;mq;mq;mq;mq;mq;mq;
07117;20241001000000;101480;-30;7;250;4.000000;286.750000;284.750000;88;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100790;mq;mq;1090;mq;mq;mq;mq;mq;mq;mq;7.200000;9.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;1.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20241001000000;101580;-10;6;210;1.800000;285.250000;284.150000;93;33890;0;mq;mq;100;8;5160;mq;mq;mq;101130;mq;mq;610;mq;mq;mq;mq;283.950000;mq;mq;2.300000;2.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;mq;5160;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20241001000000;101470;30;3;250;4.700000;285.450000;283.550000;88;20000;0;mq;mq;90;1;450;mq;mq;mq;99740;mq;mq;380;mq;mq;mq;mq;287.350000;mq;mq;7.500000;7.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;1.400000;2.800000;mq;mq;mq;mq;1;mq;510;7;mq;6900;mq;mq;mq;mq;mq;mq;
